name,label,description
st_photn,Number of Photometry Measurements,"Number of photometry measurements available 
for this star in the NASA Exoplanet Archive."
st_umbj,U-B (Johnson) [mag],"Color of the star as measured by the 
difference between U and B (Johnson) bands."
st_bmvj,B-V (Johnson) [mag],"Color of the star as measured by the 
difference between B and V (Johnson) bands."
st_vjmic,V-I (Johnson-Cousins) [mag],"Color of the star as measured by the difference 
between V (Johnson) and I (Cousins) bands."
st_vjmrc,V-R (Johnson-Cousins) [mag],"Color of the star as measured by the difference
between V (Johnson) and R (Cousins) bands."
st_jmh2,J-H (2MASS) [mag],"Color of the star as measured by the 
difference between J and H (2MASS) bands."
st_hmk2,H-Ks (2MASS) [mag],"Color of the star as measured by the 
difference between H and K (2MASS) bands."
st_jmk2,J-Ks  (2MASS) [mag],"Color of the star as measured by the 
difference between K and K (2MASS) bands."
st_bmy,b-y (Stromgren) [mag],"Color of the star as measured by the difference 
between b and y (Stromgren) bands."
st_m1,m1 (Stromgren) [mag],"Color of the star as measured by 
the m1 (Stromgren) system."
st_c1,c1 (Stromgren) [mag],"Color of the star as measured 
by the c1 (Stromgren) system."
st_colorn,Number of Color Measurements,"Number of color measurements available 
for this star in the NASA Exoplanet Archive."
